iter	Passed	Remaining
467	679	772
468	680	770
469	680	767
470	681	765
471	682	762
472	682	760
473	683	758
474	683	755
475	684	753
476	685	751
477	685	748
478	686	746
479	686	744
480	687	741
481	688	739
482	688	737
483	689	734
484	689	732
485	690	730
486	691	728
487	691	725
488	692	723
489	693	721
490	693	719
491	694	716
492	695	715
493	696	713
494	696	710
495	697	708
496	698	706
497	698	704
498	699	702
499	700	700
500	700	698
501	701	695
502	702	693
503	702	691
504	703	689
505	703	687
506	704	685
507	705	683
508	705	680
509	706	678
510	707	677
511	708	675
512	709	673
513	710	671
514	710	669
515	711	667
516	711	664
517	712	662
518	712	660
519	713	658
520	714	656
521	714	654
522	715	652
523	716	650
524	716	648
525	717	646
526	717	644
527	718	642
528	719	640
529	719	638
530	721	637
531	723	636
532	723	634
533	724	632
534	725	630
535	727	629
536	728	628
537	729	626
538	730	624
539	730	622
540	731	620
541	732	618
542	733	617
543	733	615
544	734	613
545	735	611
546	736	609
547	736	607
548	737	605
549	737	603
550	738	601
551	739	599
552	739	597
553	740	596
554	740	594
555	741	592
556	742	590
557	742	588
558	743	586
559	744	584
560	744	582
561	745	580
562	745	579
563	746	577
564	747	575
565	747	573
566	749	572
567	750	570
568	751	568
569	751	567
570	752	565
571	753	563
572	755	563
573	756	561
574	757	560
575	759	558
576	762	558
577	763	557
578	765	556
579	766	554
580	767	553
581	767	551
582	768	549
583	770	548
584	772	547
585	773	546
586	774	545
587	776	543
588	777	542
589	778	540
590	779	539
591	779	537
592	780	535
593	781	534
594	782	532
595	783	531
596	784	529
597	785	527
598	786	526
599	787	524
600	788	523
601	789	521
602	790	520
603	791	518
604	792	517
605	793	515
606	794	514
607	795	512
608	796	511
609	796	509
610	797	507
611	798	506
612	799	504
613	800	502
614	801	501
615	801	499
616	802	498
617	803	496
618	804	495
619	805	493
620	808	493
621	812	493
622	813	492
623	814	490
624	815	489
625	817	488
626	817	486
627	818	484
628	819	483
629	820	481
630	821	480
631	821	478
632	822	476
633	823	475
634	824	473
635	824	472
636	825	470
637	826	469
638	827	467
639	828	466
640	829	464
641	830	462
642	830	461
643	831	459
644	832	458
645	833	456
646	833	454
647	834	453
648	835	451
649	835	450
650	836	448
651	837	446
652	838	445
653	838	443
654	839	442
655	840	440
656	841	439
657	842	437
658	844	437
659	848	437
660	849	435
661	853	435
662	854	434
663	855	432
664	855	431
665	856	429
666	857	428
667	858	426
668	858	424
669	859	423
670	860	421
671	861	420
672	862	418
673	862	417
674	863	415
675	864	414
676	867	414
677	868	412
678	869	411
679	871	409
680	872	408
681	873	407
682	874	406
683	876	405
684	878	404
685	880	402
686	881	401
687	883	400
688	884	399
689	885	397
690	886	396
691	887	394
692	888	393
693	889	392
694	890	391
695	891	389
696	892	388
697	893	386
698	894	385
699	894	383
700	895	382
701	896	380
702	897	379
703	898	377
704	899	376
705	899	374
706	900	373
707	901	371
708	902	370
709	903	369
710	904	367
711	905	366
712	906	364
713	907	363
714	909	362
715	910	361
716	912	359
717	912	358
718	913	357
719	914	355
720	915	354
721	915	352
722	916	351
723	917	349
724	917	348
725	918	346
726	919	345
727	919	343
728	920	342
729	920	340
730	921	339
731	922	337
732	922	336
733	923	334
734	923	333
735	924	331
736	925	330
737	925	328
738	926	327
739	926	325
740	927	324
741	928	322
742	929	321
743	929	319
744	930	318
745	930	316
746	931	315
747	932	314
748	932	312
749	933	311
750	934	309
751	934	308
752	935	306
753	936	305
754	936	303
755	937	302
756	937	301
757	938	299
758	939	298
759	939	296
760	940	295
761	940	293
762	941	292
763	942	291
764	943	289
765	943	288
766	944	286
767	944	285
768	945	284
769	946	282
770	946	281
771	947	279
772	948	278
773	948	277
774	949	275
775	949	274
776	950	272
777	951	271
778	951	270
779	952	268
780	953	267
781	953	265
782	954	264
783	954	263
784	955	261
785	956	260
786	957	259
787	958	257
788	958	256
789	959	255
790	960	253
791	960	252
792	961	250
793	962	249
794	962	248
795	963	246
796	963	245
797	964	244
798	965	242
799	965	241
800	966	240
801	966	238
802	967	237
803	968	236
804	968	234
805	969	233
806	971	232
807	971	230
808	972	229
809	972	228
810	973	226
811	974	225
812	974	224
813	975	222
814	975	221
815	976	220
816	977	218
817	977	217
818	978	216
819	979	214
820	979	213
821	980	212
822	980	210
823	981	209
824	982	208
825	982	207
826	983	205
827	984	204
828	985	203
829	986	201
830	986	200
831	987	199
832	988	198
833	988	196
834	989	195
835	989	194
836	990	192
837	991	191
838	991	190
839	992	189
840	992	187
841	993	186
842	994	185
843	994	183
844	995	182
845	995	181
846	996	180
847	997	178
848	997	177
849	998	176
850	999	174
851	999	173
852	1000	172
853	1001	171
854	1001	169
855	1002	168
856	1002	167
857	1003	166
858	1004	164
859	1004	163
860	1005	162
861	1006	161
862	1006	159
863	1007	158
864	1007	157
865	1008	156
866	1009	154
867	1009	153
868	1010	152
869	1010	151
870	1011	149
871	1012	148
872	1013	147
873	1013	146
874	1014	144
875	1015	143
876	1015	142
877	1016	141
878	1017	140
879	1017	138
880	1018	137
881	1018	136
882	1019	135
883	1020	133
884	1020	132
885	1021	131
886	1022	130
887	1022	129
888	1023	127
889	1024	126
890	1024	125
891	1025	124
892	1026	122
893	1026	121
894	1027	120
895	1027	119
896	1028	118
897	1029	116
898	1029	115
899	1030	114
900	1031	113
901	1031	112
902	1032	110
903	1032	109
904	1033	108
905	1034	107
906	1034	106
907	1035	104
908	1036	103
909	1036	102
910	1037	101
911	1038	100
912	1038	98
913	1039	97
914	1040	96
915	1041	95
916	1041	94
917	1042	93
918	1042	91
919	1043	90
920	1044	89
921	1044	88
922	1045	87
923	1045	86
924	1046	84
925	1047	83
926	1047	82
927	1048	81
928	1048	80
929	1049	79
930	1050	77
931	1051	76
932	1051	75
933	1052	74
934	1052	73
935	1053	72
936	1054	70
937	1054	69
938	1055	68
939	1055	67
940	1056	66
941	1057	65
942	1057	63
943	1058	62
944	1059	61
945	1059	60
946	1060	59
947	1060	58
